"시점",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"시점",합계,합계,1호선,1호선,2호선,2호선,3호선,3호선,4호선,4호선,5호선,5호선,6호선,6호선,7호선,7호선,8호선,8호선,9호선,9호선,우이신설선,우이신설선
"시점",수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입
"2018. 06",234304,145308,13689,6722,65953,44690,26609,15705,27086,16221,27114,16968,16674,9744,31023,20552,8816,5111,15218,8635,2122,960
"2018. 07",238608,148223,13977,6988,68518,46508,27172,16090,26577,15868,27339,17213,16715,9718,31289,20631,8995,5180,15901,9078,2125,949
"2018. 08",230007,143126,13568,6784,66037,44893,26243,15537,25370,15163,26252,16500,16114,9347,30251,19976,8680,5021,15419,8986,2073,919
"2018. 09",221493,137244,13503,6651,61961,41957,25497,15062,25167,15151,25218,15820,16044,9375,29353,19467,8272,4780,14377,8024,2101,957
"2018. 10",251796,156960,15000,7509,70212,47554,28669,16930,28850,17338,29022,18204,18629,10899,33221,22024,9556,5533,16275,9890,2362,1079
"2018. 11",249739,156083,14813,7521,70174,47699,28553,16945,28513,17203,28764,18104,17797,10442,33039,21997,9529,5538,16245,9569,2312,1065
"2018. 12",246254,153061,14814,7478,69320,47007,27837,16467,28198,16896,27854,17344,17286,10092,31771,21011,9296,5381,17671,10394,2207,991
"2019. 01",240812,149824,14665,7348,67930,46166,27165,16137,26521,15857,27461,17264,16452,9586,31280,20713,9230,5339,17955,10461,2153,953
"2019. 02",205184,128334,12540,6348,57573,39288,23289,13896,22842,13763,23183,14629,14075,8260,26650,17825,7835,4572,15328,8916,1869,837
"2019. 03",250915,155779,14816,7351,69717,47352,28208,16700,28501,17109,28369,17689,17834,10452,32859,21716,9658,5580,18570,10754,2383,1076
"2019. 04",253456,157297,14697,7309,69817,47429,28353,16747,28493,17001,29356,18351,17770,10351,33456,22104,9867,5709,19264,11224,2383,1072
"2019. 05",260075,161214,15143,7490,71739,48673,29181,17234,29425,17560,29762,18559,18441,10749,34403,22769,10054,5814,19446,11248,2481,1118
"2019. 06",236759,146518,13924,6834,65634,44537,26592,15684,26752,15935,26933,16776,16673,9693,30950,20422,9107,5255,17956,10388,2238,994
"2019. 07",247384,153581,14384,7153,69730,47453,27786,16469,27189,16160,28290,17673,16963,9842,32020,21121,9506,5505,19248,11205,2268,1000
"2019. 08",236427,146404,14028,6926,66428,45208,26809,15854,26100,15549,26973,16777,16215,9376,30330,19964,8935,5158,18449,10647,2160,945
"2019. 09",228493,142053,13359,6609,62855,42742,25918,15375,25656,15424,26059,16335,16211,9475,29988,19911,8740,5049,17499,10133,2208,1000
"2019. 10",258416,159342,15315,7482,70910,48136,29170,17192,28842,17233,29720,18341,18641,10835,33227,21915,9784,5642,20358,11467,2449,1099
"2019. 11",250856,155468,14494,7236,68946,46906,28524,16883,27974,16776,28621,17814,17678,10324,32545,21535,9618,5563,20082,11358,2374,1073
"2019. 12",254867,157196,15004,7524,70681,47942,28666,16895,28498,16991,29109,18047,17623,10232,32435,21301,9753,5609,20754,11621,2344,1034
