지구별,주차장명,주차대수,이용시간,날짜
PLT-008,여의도4주차장,889,117031,Sep-21
PLT-005,뚝섬4주차장,2616,193445,Sep-21
PLT-004,이촌2주차장,1676,110822,Sep-21
PLT-008,여의도5주차장,1132,74738,Sep-21
PLT-010,잠원1-6주차장,13530,923181,Sep-21
PLT-001,강서1주차장,2067,136767,Sep-21
PLT-011,잠실1234주차장,24768,1512033,Sep-21
PLT-005,뚝섬1주차장,1764,124783,Sep-21
PLT-009,반포1주차장,12786,813389,Sep-21
PLT-008,여의도2주차장,16876,1983451,Sep-21
PLT-008,여의도1주차장,43648,3871216,Sep-21
PLT-004,이촌34주차장,16008,1274472,Sep-21
PLT-009,반포23주차장,26069,1761759,Sep-21
PLT-004,이촌1주차장,1019,61429,Sep-21
PLT-007,양화2주차장,364,23699,Sep-21
PLT-007,양화2주차장,44,2595,Sep-21
PLT-003,망원23주차장,5916,498099,Sep-21
PLT-005,뚝섬2주차장,6188,600717,Sep-21
PLT-007,양화2주차장,611,45167,Sep-21
PLT-005,뚝섬2주차장,392,15443,Sep-21
PLT-003,망원23주차장,537,22907,Sep-21
PLT-005,뚝섬1주차장,3756,281814,Sep-21
PLT-007,양화2주차장,970,77513,Sep-21
PLT-005,뚝섬2주차장,10199,1007300,Sep-21
PLT-003,망원23주차장,9848,857614,Sep-21
PLT-011,잠실1234주차장,52848,3427850,Sep-21
PLT-001,강서1주차장,4366,304797,Sep-21
PLT-004,이촌34주차장,9444,748821,Sep-21
PLT-008,여의도1주차장,25630,2183790,Sep-21
PLT-008,여의도2주차장,9668,1209381,Sep-21
PLT-009,반포1주차장,7439,453053,Sep-21
PLT-008,여의도3주차장,9838,1754270,Sep-21
PLT-002,난지123주차장,16573,995642,Sep-21
PLT-008,여의도4주차장,1680,360516,Sep-21
PLT-005,뚝섬3주차장,4477,373338,Sep-21
PLT-005,뚝섬4주차장,5432,456836,Sep-21
PLT-004,이촌2주차장,3263,233238,Sep-21
PLT-008,여의도5주차장,2584,465967,Sep-21
PLT-010,잠원1-6주차장,26579,2121124,Sep-21
PLT-005,뚝섬1주차장,2935,216155,Sep-21
PLT-011,잠실1234주차장,40907,2584867,Sep-21
PLT-001,강서1주차장,3405,231983,Sep-21
PLT-011,잠실1234주차장,56756,3649372,Sep-21
PLT-001,강서1주차장,4625,322470,Sep-21
PLT-004,이촌34주차장,6950,517032,Sep-21
PLT-008,여의도1주차장,19182,1242782,Sep-21
PLT-008,여의도2주차장,7204,703668,Sep-21
PLT-006,광나루12주차장,6562,440442,Sep-21
PLT-004,이촌1주차장,1571,95674,Sep-21
PLT-008,여의도4주차장,2468,574632,Sep-21
PLT-005,뚝섬3주차장,7365,646353,Sep-21
PLT-003,망원1주차장,3146,227822,Sep-21
PLT-007,양화345주차장,8545,663304,Sep-21
PLT-009,반포1주차장,5636,337250,Sep-21
PLT-005,뚝섬1주차장,101,3347,Sep-21
PLT-008,여의도3주차장,2943,229041,Sep-21
PLT-002,난지123주차장,5031,143682,Sep-21
PLT-011,잠실1234주차장,2868,74983,Sep-21
PLT-001,강서1주차장,190,7065,Sep-21
PLT-004,이촌1주차장,1183,68096,Sep-21
PLT-008,여의도4주차장,1747,367341,Sep-21
PLT-005,뚝섬3주차장,5376,460086,Sep-21
PLT-005,뚝섬4주차장,1632,98678,Sep-21
PLT-004,이촌2주차장,904,45569,Sep-21
PLT-008,여의도5주차장,880,37931,Sep-21
PLT-009,반포23주차장,47940,3333582,Sep-21
PLT-006,광나루3주차장,8976,496096,Sep-21
PLT-007,양화1주차장,3710,336579,Sep-21
PLT-009,반포23주차장,34588,2382712,Sep-21
PLT-010,잠원1-6주차장,7810,425363,Sep-21
PLT-009,반포23주차장,22990,1520114,Sep-21
PLT-007,양화1주차장,2559,220083,Sep-21
PLT-006,광나루3주차장,6384,335716,Sep-21
PLT-004,이촌1주차장,1487,89726,Sep-21
PLT-006,광나루12주차장,3455,200721,Sep-21
PLT-008,여의도4주차장,2250,510320,Sep-21
PLT-005,뚝섬3주차장,6952,611278,Sep-21
PLT-003,망원23주차장,13636,1204257,Sep-21
PLT-007,양화1주차장,5085,472434,Sep-21
PLT-006,광나루3주차장,12851,711941,Sep-21
PLT-005,뚝섬3주차장,3501,295106,Sep-21
PLT-008,여의도4주차장,1291,242602,Sep-21
PLT-004,이촌1주차장,799,44818,Sep-21
PLT-007,양화345주차장,12628,988823,Sep-21
PLT-003,망원1주차장,4519,340713,Sep-21
PLT-006,광나루12주차장,9544,659352,Sep-21
PLT-003,망원23주차장,2069,111259,Sep-21
PLT-001,강서1주차장,2351,154527,Sep-21
PLT-011,잠실1234주차장,28666,1740305,Sep-21
PLT-005,뚝섬1주차장,1971,139779,Sep-21
PLT-007,양화345주차장,17249,1406761,Sep-21
PLT-010,잠원1-6주차장,39665,3132969,Sep-21
PLT-008,여의도5주차장,3531,716384,Sep-21
PLT-004,이촌2주차장,4647,336088,Sep-21
PLT-005,뚝섬4주차장,8033,696515,Sep-21
PLT-002,난지123주차장,23809,1466598,Sep-21
PLT-008,여의도3주차장,13710,2577746,Sep-21
PLT-005,뚝섬1주차장,484,22718,Sep-21
PLT-011,잠실1234주차장,8894,328221,Sep-21
PLT-003,망원1주차장,1616,110133,Sep-21
PLT-007,양화345주차장,4496,302373,Sep-21
PLT-003,망원23주차장,6708,564670,Sep-21
PLT-005,뚝섬2주차장,6878,673021,Sep-21
PLT-007,양화2주차장,679,50033,Sep-21
PLT-008,여의도3주차장,6607,609874,Sep-21
PLT-002,난지123주차장,11690,737457,Sep-21
PLT-005,뚝섬4주차장,3748,303537,Sep-21
PLT-004,이촌2주차장,2451,175640,Sep-21
PLT-004,이촌34주차장,10463,833175,Sep-21
PLT-008,여의도1주차장,28595,2546118,Sep-21
PLT-008,여의도2주차장,10909,1395886,Sep-21
PLT-009,반포1주차장,8254,504119,Sep-21
PLT-008,여의도5주차장,1310,93653,Sep-21
PLT-010,잠원1-6주차장,19594,1427787,Sep-21
PLT-009,반포1주차장,11001,687989,Sep-21
PLT-008,여의도2주차장,14446,1785733,Sep-21
PLT-008,여의도1주차장,37925,3392557,Sep-21
PLT-004,이촌34주차장,13755,1088063,Sep-21
PLT-004,이촌1주차장,65,2821,Sep-21
PLT-007,양화2주차장,818,62861,Sep-21
PLT-005,뚝섬2주차장,8486,834410,Sep-21
PLT-003,망원23주차장,8386,715462,Sep-21
PLT-008,여의도3주차장,10988,2104914,Sep-21
PLT-002,난지123주차장,18549,1108961,Sep-21
PLT-005,뚝섬4주차장,6190,526293,Sep-21
PLT-004,이촌2주차장,3641,259632,Sep-21
PLT-008,여의도5주차장,2975,572430,Sep-21
PLT-010,잠원1-6주차장,30047,2395127,Sep-21
PLT-007,양화345주차장,2403,124357,Sep-21
PLT-008,여의도4주차장,220,8902,Sep-21
PLT-005,뚝섬3주차장,206,10180,Sep-21
PLT-006,광나루3주차장,11857,667370,Sep-21
PLT-007,양화1주차장,4775,440262,Sep-21
PLT-009,반포23주차장,45262,3152590,Sep-21
PLT-005,뚝섬1주차장,2433,175917,Sep-21
PLT-011,잠실1234주차장,36265,2195967,Sep-21
PLT-001,강서1주차장,2908,191762,Sep-21
PLT-006,광나루12주차장,7379,497194,Sep-21
PLT-003,망원1주차장,3501,259082,Sep-21
PLT-007,양화345주차장,9515,746997,Sep-21
PLT-007,양화1주차장,2850,254653,Sep-21
PLT-006,광나루3주차장,7176,375795,Sep-21
PLT-001,강서1주차장,2613,172937,Sep-21
PLT-006,광나루12주차장,4921,317123,Sep-21
PLT-003,망원1주차장,2293,153645,Sep-21
PLT-007,양화345주차장,6505,490420,Sep-21
PLT-011,잠실1234주차장,32373,1963631,Sep-21
PLT-005,뚝섬1주차장,2174,154811,Sep-21
PLT-006,광나루3주차장,622,12717,Sep-21
PLT-007,양화1주차장,225,8781,Sep-21
PLT-003,망원23주차장,1126,52680,Sep-21
PLT-005,뚝섬2주차장,868,32000,Sep-21
PLT-007,양화2주차장,80,3744,Sep-21
PLT-009,반포23주차장,1592,56240,Sep-21
PLT-007,양화345주차장,10588,829281,Sep-21
PLT-003,망원1주차장,3914,296157,Sep-21
PLT-006,광나루12주차장,8155,545967,Sep-21
PLT-007,양화345주차장,16411,1332328,Sep-21
PLT-003,망원1주차장,5764,435590,Sep-21
PLT-006,광나루12주차장,12642,882417,Sep-21
PLT-006,광나루12주차장,1918,73738,Sep-21
PLT-009,반포23주차장,17102,1115403,Sep-21
PLT-003,망원23주차장,7490,634615,Sep-21
PLT-004,이촌34주차장,4754,317437,Sep-21
PLT-008,여의도1주차장,12966,742919,Sep-21
PLT-007,양화1주차장,1790,117252,Sep-21
PLT-006,광나루3주차장,4093,213599,Sep-21
PLT-005,뚝섬2주차장,7588,749516,Sep-21
PLT-007,양화2주차장,740,56073,Sep-21
PLT-010,잠원1-6주차장,50975,4187692,Sep-21
PLT-008,여의도5주차장,4500,984899,Sep-21
PLT-004,이촌2주차장,6053,439774,Sep-21
PLT-005,뚝섬4주차장,10556,936502,Sep-21
PLT-002,난지123주차장,31115,1960554,Sep-21
PLT-008,여의도3주차장,17676,3535294,Sep-21
PLT-003,망원1주차장,869,55718,Sep-21
PLT-008,여의도2주차장,4908,515806,Sep-21
PLT-009,반포1주차장,3862,214073,Sep-21
PLT-004,이촌1주차장,131,5534,Sep-21
PLT-008,여의도4주차장,435,16055,Sep-21
PLT-005,뚝섬3주차장,454,21489,Sep-21
PLT-004,이촌1주차장,210,9106,Sep-21
PLT-008,여의도4주차장,542,32233,Sep-21
PLT-007,양화2주차장,1318,105222,Sep-21
PLT-005,뚝섬2주차장,14090,1418848,Sep-21
PLT-005,뚝섬3주차장,2689,231051,Sep-21
PLT-008,여의도4주차장,660,42346,Sep-21
PLT-004,이촌1주차장,583,27757,Sep-21
PLT-005,뚝섬3주차장,941,57892,Sep-21
PLT-007,양화345주차장,657,25258,Sep-21
PLT-003,망원1주차장,233,12303,Sep-21
PLT-006,광나루12주차장,539,13433,Sep-21
PLT-009,반포1주차장,14334,915077,Sep-21
PLT-008,여의도2주차장,19396,2403272,Sep-21
PLT-008,여의도1주차장,48870,4560035,Sep-21
PLT-004,이촌34주차장,18035,1435950,Sep-21
PLT-001,강서1주차장,1753,120073,Sep-21
PLT-011,잠실1234주차장,18706,1204944,Sep-21
PLT-005,뚝섬1주차장,1506,107282,Sep-21
PLT-010,잠원1-6주차장,2077,98005,Sep-21
PLT-008,여의도5주차장,334,11521,Sep-21
PLT-004,이촌2주차장,255,9550,Sep-21
PLT-005,뚝섬4주차장,471,27308,Sep-21
PLT-002,난지123주차장,1737,27180,Sep-21
PLT-008,여의도3주차장,1032,69633,Sep-21
PLT-007,양화2주차장,1195,94434,Sep-21
PLT-005,뚝섬2주차장,12652,1273373,Sep-21
PLT-003,망원23주차장,12037,1070463,Sep-21
PLT-010,잠원1-6주차장,33781,2682842,Sep-21
PLT-008,여의도5주차장,3325,680062,Sep-21
PLT-004,이촌2주차장,3998,283075,Sep-21
PLT-005,뚝섬4주차장,6984,594545,Sep-21
PLT-002,난지123주차장,20663,1216098,Sep-21
PLT-008,여의도3주차장,12220,2434980,Sep-21
PLT-005,뚝섬1주차장,3553,266326,Sep-21
PLT-011,잠실1234주차장,49014,3196625,Sep-21
PLT-001,강서1주차장,4093,286708,Sep-21
PLT-003,망원23주차장,5018,411020,Sep-21
PLT-005,뚝섬2주차장,5402,499647,Sep-21
PLT-007,양화2주차장,532,37874,Sep-21
PLT-009,반포1주차장,289,5235,Sep-21
PLT-008,여의도2주차장,694,124614,Sep-21
PLT-008,여의도1주차장,1939,52651,Sep-21
PLT-004,이촌34주차장,758,38870,Sep-21
PLT-009,반포23주차장,11366,680603,Sep-21
PLT-003,망원1주차장,6108,466367,Sep-21
PLT-004,이촌34주차장,7746,592556,Sep-21
PLT-008,여의도1주차장,21005,1552118,Sep-21
PLT-008,여의도2주차장,7889,867688,Sep-21
PLT-009,반포1주차장,6127,372413,Sep-21
PLT-008,여의도3주차장,7718,1018496,Sep-21
PLT-004,이촌1주차장,1395,82800,Sep-21
PLT-008,여의도4주차장,2052,449413,Sep-21
PLT-005,뚝섬3주차장,6579,579625,Sep-21
PLT-007,양화1주차장,1275,74798,Sep-21
PLT-006,광나루12주차장,13440,938420,Sep-21
PLT-002,난지123주차장,13221,822493,Sep-21
PLT-005,뚝섬4주차장,4235,345944,Sep-21
PLT-004,이촌2주차장,2685,191017,Sep-21
PLT-008,여의도5주차장,1734,220568,Sep-21
PLT-010,잠원1-6주차장,21619,1647446,Sep-21
PLT-006,광나루3주차장,2983,131237,Sep-21
PLT-007,양화345주차장,1336,53523,Sep-21
PLT-006,광나루3주차장,10907,617969,Sep-21
PLT-007,양화1주차장,4509,405626,Sep-21
PLT-009,반포23주차장,42485,2975837,Sep-21
PLT-006,광나루12주차장,5490,360140,Sep-21
PLT-003,망원1주차장,2555,175944,Sep-21
PLT-007,양화345주차장,7046,542662,Sep-21
PLT-003,망원1주차장,457,26724,Sep-21
PLT-006,광나루12주차장,1179,37323,Sep-21
PLT-010,잠원1-6주차장,53876,4442775,Sep-21
PLT-008,여의도5주차장,4887,1101524,Sep-21
PLT-005,뚝섬1주차장,248,9572,Sep-21
PLT-007,양화2주차장,159,9109,Sep-21
PLT-004,이촌2주차장,6433,465167,Sep-21
PLT-004,이촌34주차장,11597,923064,Sep-21
PLT-008,여의도1주차장,32086,2928294,Sep-21
PLT-008,여의도2주차장,12359,1606984,Sep-21
PLT-009,반포1주차장,9150,558730,Sep-21
PLT-005,뚝섬4주차장,11270,1000866,Sep-21
PLT-005,뚝섬2주차장,1782,103251,Sep-21
PLT-011,잠실1234주차장,5955,159993,Sep-21
PLT-002,난지123주차장,33411,2071332,Sep-21
PLT-008,여의도3주차장,18980,3924350,Sep-21
PLT-007,양화345주차장,15564,1255637,Sep-21
PLT-003,망원1주차장,5447,407278,Sep-21
PLT-006,광나루12주차장,11736,830567,Sep-21
PLT-001,강서1주차장,691,32930,Sep-21
PLT-009,반포23주차장,18787,1228893,Sep-21
PLT-007,양화1주차장,2000,143901,Sep-21
PLT-006,광나루3주차장,4853,252677,Sep-21
PLT-010,잠원1-6주차장,47808,3902614,Sep-21
PLT-008,여의도5주차장,4099,863548,Sep-21
PLT-004,이촌2주차장,5691,415632,Sep-21
PLT-005,뚝섬4주차장,9866,873079,Sep-21
PLT-002,난지123주차장,28987,1864113,Sep-21
PLT-008,여의도3주차장,16466,3162932,Sep-21
PLT-004,이촌34주차장,2531,131899,Sep-21
PLT-008,여의도1주차장,6800,267871,Sep-21
PLT-005,뚝섬3주차장,3952,329823,Sep-21
PLT-008,여의도4주차장,1491,305035,Sep-21
PLT-004,이촌1주차장,903,55153,Sep-21
PLT-008,여의도2주차장,2624,338833,Sep-21
PLT-009,반포1주차장,1769,62421,Sep-21
PLT-005,뚝섬3주차장,2912,247536,Sep-21
PLT-005,뚝섬2주차장,3688,295991,Sep-21
PLT-004,이촌1주차장,634,32762,Sep-21
PLT-005,뚝섬3주차장,1732,134208,Sep-21
PLT-009,반포1주차장,13500,863273,Sep-21
PLT-008,여의도2주차장,18174,2195999,Sep-21
PLT-008,여의도1주차장,46254,4209669,Sep-21
PLT-004,이촌34주차장,17039,1359154,Sep-21
PLT-008,여의도4주차장,613,40654,Sep-21
PLT-004,이촌1주차장,413,18759,Sep-21
PLT-010,잠원1-6주차장,4326,195610,Sep-21
PLT-008,여의도5주차장,719,22703,Sep-21
PLT-006,광나루3주차장,1934,55275,Sep-21
PLT-004,이촌2주차장,538,21771,Sep-21
PLT-001,강서1주차장,1908,129099,Sep-21
PLT-011,잠실1234주차장,21885,1385092,Sep-21
PLT-005,뚝섬1주차장,1672,118694,Sep-21
PLT-005,뚝섬4주차장,955,52633,Sep-21
PLT-002,난지123주차장,3271,63091,Sep-21
PLT-007,양화2주차장,1140,90131,Sep-21
PLT-005,뚝섬2주차장,11962,1199010,Sep-21
PLT-003,망원23주차장,11360,1012020,Sep-21
PLT-008,여의도3주차장,2012,125128,Sep-21
PLT-003,망원23주차장,5552,460139,Sep-21
PLT-005,뚝섬2주차장,5856,553625,Sep-21
PLT-007,양화2주차장,580,42702,Sep-21
PLT-007,양화1주차장,744,35528,Sep-21
PLT-009,반포23주차장,6393,291073,Sep-21
PLT-009,반포1주차장,15224,971219,Sep-21
PLT-008,여의도2주차장,20738,2603437,Sep-21
PLT-008,여의도1주차장,51616,4909500,Sep-21
PLT-004,이촌34주차장,19127,1517950,Sep-21
PLT-006,광나루3주차장,7996,420354,Sep-21
PLT-007,양화1주차장,3172,288030,Sep-21
PLT-005,뚝섬1주차장,3364,250888,Sep-21
PLT-011,잠실1234주차장,45310,2995731,Sep-21
PLT-001,강서1주차장,3858,270890,Sep-21
PLT-009,반포23주차장,29160,1967199,Sep-21
PLT-004,이촌34주차장,8322,649843,Sep-21
PLT-008,여의도1주차장,22615,1826404,Sep-21
PLT-008,여의도2주차장,8365,1005098,Sep-21
PLT-009,반포1주차장,6569,402424,Sep-21
PLT-008,여의도3주차장,8574,1361495,Sep-21
PLT-002,난지123주차장,14507,880496,Sep-21
PLT-004,이촌1주차장,1316,75934,Sep-21
PLT-008,여의도4주차장,1814,371140,Sep-21
PLT-005,뚝섬3주차장,6215,547834,Sep-21
PLT-005,뚝섬4주차장,4578,380500,Sep-21
PLT-004,이촌2주차장,2861,201531,Sep-21
PLT-008,여의도5주차장,2151,339953,Sep-21
PLT-010,잠원1-6주차장,23133,1815961,Sep-21
PLT-001,강서1주차장,377,13352,Sep-21
PLT-008,여의도3주차장,4871,423753,Sep-21
PLT-006,광나루12주차장,5799,384797,Sep-21
PLT-003,망원1주차장,2763,196773,Sep-21
PLT-007,양화345주차장,7495,580011,Sep-21
PLT-006,광나루3주차장,9995,570676,Sep-21
PLT-007,양화1주차장,4223,375573,Sep-21
PLT-009,반포23주차장,40092,2819712,Sep-21
PLT-009,반포1주차장,823,23849,Sep-21
PLT-002,난지123주차장,8338,420205,Sep-21
PLT-008,여의도2주차장,1429,251495,Sep-21
PLT-008,여의도1주차장,3838,102152,Sep-21
PLT-004,이촌34주차장,1454,76188,Sep-21
PLT-007,양화2주차장,1255,99331,Sep-21
PLT-005,뚝섬2주차장,13382,1348407,Sep-21
PLT-003,망원23주차장,12882,1140191,Sep-21
PLT-009,반포23주차장,20047,1317955,Sep-21
PLT-007,양화1주차장,2216,176818,Sep-21
PLT-006,광나루3주차장,5548,284128,Sep-21
PLT-006,광나루3주차장,1302,27178,Sep-21
PLT-007,양화1주차장,443,17857,Sep-21
PLT-009,반포23주차장,3431,134753,Sep-21
PLT-005,뚝섬1주차장,4000,305612,Sep-21
PLT-007,양화345주차장,14683,1179175,Sep-21
PLT-003,망원1주차장,5138,382964,Sep-21
PLT-006,광나루12주차장,10958,771824,Sep-21
PLT-001,강서1주차장,1265,76288,Sep-21
PLT-011,잠실1234주차장,14000,756128,Sep-21
PLT-005,뚝섬1주차장,1036,65862,Sep-21
PLT-005,뚝섬3주차장,3044,258336,Sep-21
PLT-008,여의도4주차장,1078,177318,Sep-21
PLT-004,이촌1주차장,692,36542,Sep-21
PLT-010,잠원1-6주차장,45029,3647894,Sep-21
PLT-008,여의도5주차장,3681,731914,Sep-21
PLT-004,이촌2주차장,5359,395031,Sep-21
PLT-005,뚝섬4주차장,9156,806708,Sep-21
PLT-002,난지123주차장,27057,1776921,Sep-21
PLT-008,여의도3주차장,15306,2753019,Sep-21
PLT-003,망원23주차장,3549,255627,Sep-21
PLT-010,잠원1-6주차장,75989,4882029,Aug-21
PLT-008,여의도2주차장,25657,3064690,Aug-21
PLT-008,여의도1주차장,64957,4579581,Aug-21
PLT-003,망원23주차장,19889,1306034,Aug-21
PLT-011,잠실1234주차장,73986,3698002,Aug-21
PLT-009,반포23주차장,63475,3298227,Aug-21
PLT-007,양화2주차장,1703,105195,Aug-21
PLT-002,난지123주차장,50529,1979265,Aug-21
PLT-005,뚝섬4주차장,16843,1140325,Aug-21
PLT-006,광나루12주차장,19546,1021449,Aug-21
PLT-003,망원1주차장,8684,528037,Aug-21
PLT-004,이촌1주차장,2122,110233,Aug-21
PLT-009,반포23주차장,63475,3298227,Aug-21
PLT-011,잠실1234주차장,73986,3698002,Aug-21
PLT-003,망원23주차장,19889,1306034,Aug-21
PLT-008,여의도1주차장,64957,4579581,Aug-21
PLT-008,여의도2주차장,25657,3064690,Aug-21
PLT-010,잠원1-6주차장,75989,4882029,Aug-21
PLT-009,반포1주차장,21197,938098,Aug-21
PLT-008,여의도3주차장,25042,4140208,Aug-21
PLT-003,망원23주차장,20957,1357049,Aug-21
PLT-002,난지123주차장,50529,1979265,Aug-21
PLT-007,양화2주차장,1703,105195,Aug-21
PLT-005,뚝섬4주차장,16843,1140325,Aug-21
PLT-006,광나루12주차장,19546,1021449,Aug-21
PLT-008,여의도1주차장,68815,4707490,Aug-21
PLT-008,여의도2주차장,27233,3371543,Aug-21
PLT-010,잠원1-6주차장,80548,5120462,Aug-21
PLT-009,반포1주차장,22073,975115,Aug-21
PLT-010,잠원1-6주차장,80548,5120462,Aug-21
PLT-003,망원1주차장,8684,528037,Aug-21
PLT-004,이촌1주차장,2122,110233,Aug-21
PLT-004,이촌1주차장,2265,117737,Aug-21
PLT-008,여의도4주차장,4200,744194,Aug-21
PLT-006,광나루3주차장,12179,565309,Aug-21
PLT-007,양화1주차장,6357,510557,Aug-21
PLT-005,뚝섬3주차장,9109,555575,Aug-21
PLT-005,뚝섬2주차장,17428,1214568,Aug-21
PLT-005,뚝섬1주차장,5437,378778,Aug-21
PLT-004,이촌34주차장,25382,1604558,Aug-21
PLT-007,양화345주차장,23096,1370459,Aug-21
PLT-008,여의도4주차장,3602,725241,Aug-21
PLT-001,강서1주차장,6903,411759,Aug-21
PLT-004,이촌2주차장,9093,511138,Aug-21
PLT-008,여의도5주차장,6806,1279170,Aug-21
PLT-007,양화345주차장,23096,1370459,Aug-21
PLT-008,여의도5주차장,6806,1279170,Aug-21
PLT-003,망원1주차장,9202,558301,Aug-21
PLT-006,광나루12주차장,20718,1063328,Aug-21
PLT-005,뚝섬4주차장,17850,1199807,Aug-21
PLT-002,난지123주차장,46189,1901007,Aug-21
PLT-007,양화2주차장,1622,101616,Aug-21
PLT-008,여의도3주차장,22972,3998294,Aug-21
PLT-009,반포1주차장,22073,975115,Aug-21
PLT-007,양화345주차장,23096,1370459,Aug-21
PLT-008,여의도5주차장,6806,1279170,Aug-21
PLT-004,이촌2주차장,9093,511138,Aug-21
PLT-001,강서1주차장,6903,411759,Aug-21
PLT-010,잠원1-6주차장,80548,5120462,Aug-21
PLT-004,이촌1주차장,2265,117737,Aug-21
PLT-003,망원1주차장,9202,558301,Aug-21
PLT-002,난지123주차장,50529,1979265,Aug-21
PLT-006,광나루12주차장,20718,1063328,Aug-21
PLT-005,뚝섬4주차장,17850,1199807,Aug-21
PLT-008,여의도2주차장,27233,3371543,Aug-21
PLT-008,여의도1주차장,68815,4707490,Aug-21
PLT-003,망원23주차장,20957,1357049,Aug-21
PLT-007,양화2주차장,1703,105195,Aug-21
PLT-002,난지123주차장,50529,1979265,Aug-21
PLT-011,잠실1234주차장,80229,3887182,Aug-21
PLT-009,반포23주차장,66807,3424948,Aug-21
PLT-004,이촌1주차장,2122,110233,Aug-21
PLT-001,강서1주차장,6093,386208,Aug-21
PLT-004,이촌2주차장,8003,472772,Aug-21
PLT-008,여의도5주차장,5799,1237879,Aug-21
PLT-007,양화345주차장,20176,1277933,Aug-21
PLT-001,강서1주차장,6573,396172,Aug-21
PLT-004,이촌2주차장,8568,485961,Aug-21
PLT-008,여의도5주차장,6165,1252584,Aug-21
PLT-007,양화345주차장,21766,1315389,Aug-21
PLT-008,여의도3주차장,25042,4140208,Aug-21
PLT-006,광나루3주차장,13586,600042,Aug-21
PLT-003,망원1주차장,8684,528037,Aug-21
PLT-006,광나루12주차장,19546,1021449,Aug-21
PLT-005,뚝섬4주차장,16843,1140325,Aug-21
PLT-008,여의도3주차장,25042,4140208,Aug-21
PLT-001,강서1주차장,6903,411759,Aug-21
PLT-004,이촌2주차장,9093,511138,Aug-21
PLT-008,여의도5주차장,6806,1279170,Aug-21
PLT-009,반포1주차장,22073,975115,Aug-21
PLT-010,잠원1-6주차장,80548,5120462,Aug-21
PLT-008,여의도2주차장,27233,3371543,Aug-21
PLT-008,여의도1주차장,68815,4707490,Aug-21
PLT-003,망원23주차장,20957,1357049,Aug-21
PLT-011,잠실1234주차장,80229,3887182,Aug-21
PLT-009,반포23주차장,66807,3424948,Aug-21
PLT-008,여의도4주차장,4200,744194,Aug-21
PLT-005,뚝섬2주차장,18368,1254621,Aug-21
PLT-007,양화2주차장,1703,105195,Aug-21
PLT-007,양화1주차장,6738,529524,Aug-21
PLT-005,뚝섬3주차장,9604,582445,Aug-21
PLT-005,뚝섬2주차장,18368,1254621,Aug-21
PLT-005,뚝섬1주차장,5710,393464,Aug-21
PLT-004,이촌34주차장,27015,1692940,Aug-21
PLT-007,양화345주차장,23096,1370459,Aug-21
PLT-004,이촌1주차장,2265,117737,Aug-21
PLT-003,망원1주차장,9202,558301,Aug-21
PLT-006,광나루12주차장,20718,1063328,Aug-21
PLT-005,뚝섬4주차장,17850,1199807,Aug-21
PLT-008,여의도2주차장,27233,3371543,Aug-21
PLT-008,여의도1주차장,68815,4707490,Aug-21
PLT-003,망원23주차장,20957,1357049,Aug-21
PLT-008,여의도3주차장,25042,4140208,Aug-21
PLT-009,반포1주차장,22073,975115,Aug-21
PLT-008,여의도4주차장,4200,744194,Aug-21
PLT-008,여의도4주차장,4200,744194,Aug-21
PLT-009,반포23주차장,66807,3424948,Aug-21
PLT-011,잠실1234주차장,80229,3887182,Aug-21
PLT-007,양화2주차장,1622,101616,Aug-21
PLT-002,난지123주차장,46189,1901007,Aug-21
PLT-003,망원23주차장,20957,1357049,Aug-21
PLT-008,여의도3주차장,25042,4140208,Aug-21
PLT-008,여의도4주차장,4200,744194,Aug-21
PLT-005,뚝섬4주차장,17850,1199807,Aug-21
PLT-008,여의도3주차장,22972,3998294,Aug-21
PLT-008,여의도1주차장,68815,4707490,Aug-21
PLT-008,여의도4주차장,4200,744194,Aug-21
PLT-011,잠실1234주차장,80229,3887182,Aug-21
PLT-009,반포23주차장,66807,3424948,Aug-21
PLT-006,광나루12주차장,20718,1063328,Aug-21
PLT-003,망원1주차장,9202,558301,Aug-21
PLT-004,이촌1주차장,2265,117737,Aug-21
PLT-008,여의도4주차장,4200,744194,Aug-21
PLT-008,여의도2주차장,27233,3371543,Aug-21
PLT-008,여의도3주차장,25042,4140208,Aug-21
PLT-001,강서1주차장,6903,411759,Aug-21
PLT-004,이촌2주차장,9093,511138,Aug-21
PLT-008,여의도5주차장,6806,1279170,Aug-21
PLT-002,난지123주차장,50529,1979265,Aug-21
PLT-007,양화2주차장,1703,105195,Aug-21
PLT-003,망원1주차장,8111,511910,Aug-21
PLT-008,여의도4주차장,3602,725241,Aug-21
PLT-007,양화345주차장,23096,1370459,Aug-21
PLT-004,이촌1주차장,1979,107379,Aug-21
PLT-004,이촌1주차장,2265,117737,Aug-21
PLT-004,이촌1주차장,2265,117737,Aug-21
PLT-003,망원1주차장,9202,558301,Aug-21
PLT-006,광나루12주차장,20718,1063328,Aug-21
PLT-005,뚝섬4주차장,17850,1199807,Aug-21
PLT-009,반포1주차장,22073,975115,Aug-21
PLT-002,난지123주차장,50529,1979265,Aug-21
PLT-007,양화2주차장,1703,105195,Aug-21
PLT-006,광나루3주차장,13586,600042,Aug-21
PLT-007,양화1주차장,6738,529524,Aug-21
PLT-005,뚝섬3주차장,9604,582445,Aug-21
PLT-005,뚝섬2주차장,18368,1254621,Aug-21
