정보,아이폰_12_미니_64GB,아이폰_12_미니_128GB,아이폰_12_미니_256GB,아이폰_12_64GB,아이폰_12_128GB,아이폰_12_256GB,아이폰_12_pro_128GB,아이폰_12_pro_256GB,아이폰_12_pro_512GB,아이폰_12_pro_max_128GB,아이폰_12_pro_max_256GB,아이폰_12_pro_max_512GB
평균가,946389,1108524,1274655,1148300,1281273,1426629,1259572,1451876,1835393,1109760,1218915,1470637
최고가,1500000,1530000,1910000,1420000,1600000,1950000,1490000,1758930,1990000,1474000,1606000,1870000
최소가,582000,529000,555000,552490,599710,799900,571300,894400,1548350,605760,798060,1090400
자료 개수,37,37,38,39,38,39,38,38,39,39,40,40
