정보,iphone_12_mini_64GB,iphone_12_mini_128GB,iphone_12_mini_256GB,iphone_12_64GB,iphone_12_128GB,iphone_12_256GB,iphone_12_pro_128GB,iphone_12_pro_256GB,iphone_12_pro_512GB,iphone_12_pro_max_128GB,iphone_12_pro_max_256GB,iphone_12_pro_max_512GB
평균가,866130,1107784,1300857,1163326,1290010,1416152,1258209,1468485,1815493,1082486,1199708,1467542
최고가,1330000,1530000,1910000,1420000,1740000,1950000,1470000,1690000,1990000,1474000,1606000,1870000
최소가,559000,529000,672000,875990,516300,799900,571300,835300,1409000,605760,798060,1090400
자료 개수,37,37,38,40,39,39,39,38,39,39,39,39
