정보,아이폰_12_미니_64GB,아이폰_12_미니_128GB,아이폰_12_미니_256GB,아이폰_12_64GB,아이폰_12_128GB,아이폰_12_256GB,아이폰_12_pro_128GB,아이폰_12_pro_256GB,아이폰_12_pro_512GB,아이폰_12_pro_max_128GB,아이폰_12_pro_max_256GB,아이폰_12_pro_max_512GB
평균가,828562,1106216,1300857,1163326,1284221,1410882,1255967,1508692,1822809,1093226,1212900,1478656
최고가,1330000,1530000,1910000,1420000,1740000,1950000,1470000,1999900,1997000,1474000,1606000,1870000
최소가,559000,529000,672000,875990,516300,799900,571300,835300,1409000,605760,798060,1180000
자료 개수,36,37,38,40,38,39,38,38,39,39,39,39
