국가,치명(%),완치(%),발생률,인구수,확진자합계,확진자1일,치료중합계,치료중1일,위중증합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일
터크스 케이커스 제도🇹🇨,0.8,97.0,73198,38717,2834,,62,-1,1,,23,,2749,+1
영국령 버진아일랜드🇻🇬,1.4,96.7,87394,30231,2642,,50,,7,,37,,2555,
부탄🇧🇹,0.1,99.7,3370,771608,2600,+1,4,+1,N/A,,3,,2593,
카리브 네덜란드🇧🇶,0.9,93.8,78862,26223,2045,+26,108,+26,N/A,,19,,1918,
세인트키츠 네비스🇰🇳,0.6,52.1,35546,53199,1872,+37,885,+30,1,,11,+1,976,+6
생바르텔레미🇧🇱,0.2,29.5,158449,9877,1565,,1100,,N/A,,3,,462,
탄자니아🇹🇿,3.7,13.4,23,59734218,1367,,1134,,7,,50,,183,
페로 제도🇫🇴,0.2,92.9,23331,48863,1140,+13,79,+5,N/A,,2,,1059,+8
케이맨 제도🇰🇾,0.2,93.7,12477,65722,812,+17,49,+3,N/A,,2,,761,+14
그린란드🇬🇱,-,70.4,10058,56770,565,,167,,2,,0,,398,
왈리스 퓌티나🇼🇫,1.6,98.4,-,-,445,,0,,N/A,,7,,438,
앵귈라🇦🇮,0.3,93.1,25928,15003,389,+25,26,+8,N/A,,1,,362,+17
마카오🇲🇴,-,90,109,649335,70,+3,7,+3,N/A,,0,,63,
포클랜드 제도🇫🇰,-,94.0,19253,3480,67,,4,,N/A,,0,,63,
몬트세랫🇲🇸,3.0,90.9,6611,4992,33,,2,,N/A,,1,,30,
생피에르 미클롱🇵🇲,-,100,5350,5794,31,,0,,N/A,,0,,31,
바티칸 시국🇻🇦,-,100,33708,801,27,,0,,N/A,,0,,27,
솔로몬 제도🇸🇧,-,100,29,686884,20,,0,,N/A,,0,,20,
서사하라🇪🇭,10,80,17,597339,10,,1,,N/A,,1,,8,
잔담(크루즈)🚢,22.2,77.8,-,-,9,,0,,N/A,,2,,7,
팔라우🇵🇼,-,100,276,18094,5,,0,,N/A,,0,,5,
마셜 제도🇲🇭,-,100,68,59190,4,,0,,N/A,,0,,4,
바누아투🇻🇺,25,75,13,307145,4,,0,,N/A,,1,,3,
사모아🇼🇸,-,100,15,198414,3,,0,,N/A,,0,,3,
세인트헬레나🇸🇭,-,100,329,6077,2,,0,,N/A,,0,,2,
미크로네시아🇫🇲,-,100,9,115023,1,,0,,N/A,,0,,1,
